Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Firefox 58.0,,2018-02-07 18:39:00,2018-02-07 18:43:55,4m - 54.669s,FAILED
,,,,,,
Test Cases/001_login_email_successful,Firefox 58.0,,2018-02-07 18:39:00,2018-02-07 18:39:31,30.269s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Firefox 58.0,,2018-02-07 18:39:01,2018-02-07 18:39:24,23.377s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:24,2018-02-07 18:39:25,0.868s,PASSED
setText,Firefox 58.0,,2018-02-07 18:39:25,2018-02-07 18:39:26,1.173s,PASSED
setText,Firefox 58.0,,2018-02-07 18:39:26,2018-02-07 18:39:27,1.000s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:27,2018-02-07 18:39:28,0.717s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:28,2018-02-07 18:39:29,0.728s,PASSED
waitForElementVisible,Firefox 58.0,,2018-02-07 18:39:29,2018-02-07 18:39:29,0.513s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:29,2018-02-07 18:39:30,0.695s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Firefox 58.0,,2018-02-07 18:39:30,2018-02-07 18:39:31,0.559s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Firefox 58.0,,2018-02-07 18:39:32,2018-02-07 18:39:58,26.347s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Firefox 58.0,,2018-02-07 18:39:32,2018-02-07 18:39:50,18.547s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:50,2018-02-07 18:39:52,1.100s,PASSED
verifyElementVisible,Firefox 58.0,,2018-02-07 18:39:52,2018-02-07 18:39:52,0.495s,PASSED
setText,Firefox 58.0,,2018-02-07 18:39:52,2018-02-07 18:39:53,1.305s,PASSED
setText,Firefox 58.0,,2018-02-07 18:39:53,2018-02-07 18:39:55,1.604s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:55,2018-02-07 18:39:56,0.689s,PASSED
verifyElementVisible,Firefox 58.0,,2018-02-07 18:39:56,2018-02-07 18:39:56,0.615s,PASSED
waitForElementVisible,Firefox 58.0,,2018-02-07 18:39:56,2018-02-07 18:39:57,0.469s,PASSED
click,Firefox 58.0,,2018-02-07 18:39:57,2018-02-07 18:39:57,0.742s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Firefox 58.0,,2018-02-07 18:39:57,2018-02-07 18:39:58,0.581s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Firefox 58.0,,2018-02-07 18:40:00,2018-02-07 18:40:25,24.763s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Firefox 58.0,,2018-02-07 18:40:00,2018-02-07 18:40:19,18.156s,PASSED
click,Firefox 58.0,,2018-02-07 18:40:19,2018-02-07 18:40:19,0.805s,PASSED
verifyElementVisible,Firefox 58.0,,2018-02-07 18:40:19,2018-02-07 18:40:20,0.583s,PASSED
setText,Firefox 58.0,,2018-02-07 18:40:20,2018-02-07 18:40:21,1.180s,PASSED
